,Ratings,Date,Country,New_Reviews
1389,9,15th November 2017,Saudi Arabia,verifi review london bahrain club world certainli like pack folk busi class cabin configur date hardli worthi busi class cabin compar like qatar emir etihad far superior plane old along tire cabin dirti unkempt bathroom basin perman stain need replac flight good choic food attent staff cost cut evid amen bag get present food tray personnel servic gone akin economi also real neg point heathrow newest termin guess transport aircraft buse shine exampl suppos modern airport flight definit not star star rate airlin sit plane delay min arriv min late not exactli good timekeep record either ife poor old film call new releas near par qatar airway
1390,1,14th November 2017,United Kingdom,verifi review london philadelphia ticket book amex companion ticket effect famili travel k busi class return good valu posit b journey refurbish clean great ife cabin quiet crew amazingli help loung fine flight time bag quickli neg food leg great salad poor main beef meal averag pud normal show stopper not great previou year food excel return journey except crew time outstandingli help travel babi toddler crew enough help real test crew land lhr walk jetti year old daughter sick stood jetti tri sort situat crew long flight came help us amaz done day ba get much stick moment hard product fine redeem companion ticket not pay excess k crew lift product much higher level
1391,10,13th November 2017,United Kingdom,verifi review british airway short haul busi class noth economi class seat maximum inch pitch loung access meal thrown worth pay three time cost economi ticket ba recent introduc busi class domest rout got decent price book well advanc decid tri check effici galleri club loung adequ comparison whatsoev asian middl eastern airlin loung prioriti board although announc not make differ economi busi class passeng queue confus maneuv cramp seat offer hot towel soon sat decid whether amus embarrass new celebr cast safeti video spot star listen safeti instruct guess someth differ ba tri servic board surprisingli effici swift soon take tasti snack bar servic premium brand offer one hour flight servic good consid one hour flight despit boe x x layout cabin felt claustrophob differ economi seat virtual leg room brand busi class extra cost justifi fli club europ absolut not
1392,2,13th November 2017,United Kingdom,verifi review request asian vegetarian food way includ return flight oakland gatwick th novemb disappoint requir not fulfil told connect flight pick luggag check phoenix airport connect flight never heard normal airlin check luggag transfer passeng secur check board flight reach phoenix first secur took long time clear luggag took time come go differ level check go secur board flight return flight oakland gatwick went check luggag told staff desk tsa break lock check luggag pleas keep unlock request asian vegetarian food got special meal cholesterol fat free diet mention staff gave food said ask said sorri food label clearli say seat k food still believ instead apolog said get back matter provid food might not spare food offer min wait serv passeng came told want offer full english breakfast said vegetarian said option
1393,5,13th November 2017,United States,verifi review continu disappoint british airway seem race ryanair easyjet becom worst carrier uk flew sseldorf london loung du close check staff know sent connexion jfk show board pass interlin bag partner aa recheck not not serv second meal hour flight lhr lax want coca cola pay p usual alway fli across ocean european carrier boac recommend finnair american one world allianc point
1394,1,11th November 2017,United Kingdom,verifi review london santiago cabin crew gener help friendli cabin bit grubbi crumb nut grime evid flight home took seat saw bit wrapper ear plug give seem left previou flight evid whoever wield vacuum cleaner passeng board need bit thorough alcohol drink pleasant food variabl qualiti coffe none bad bit mediocr good mani comment somewhat odd seat arrang found bit palav care step anoth sleep passeng leg tri not wake problem configur video screen stow take land mean watch economi screen back seat front flight found screen seem broken would not lock posit would look angl solv problem stuf roll magazin hing bit take everi time got seat anoth problem configur storag space minim apart overhead locker small drawer add litter problem taken polythen wrapper headphon blanket paper ring around napkin er drop floor manag sleep quit well though pillow provid thin flight back gave anoth one ask anoth small problem individu air condit vent seat take jacket sweater whatev lack storag space mean go overhead locker alreadi fill littl drawer want seem bit picki although flight entertain good choic film menu system see bit irrit divid categori comedi thriller etc z unpleas experi would advis ba interest advic need clean plane often thoroughli think seat configur
1395,1,11th November 2017,United Kingdom,verifi review london new york jfk club world read mix review also saw ba upgrad standard flight nyc particular look forward flight not optimist still busi class belong aircraft tatti polit worn carpet seat variou malfunct broken item washroom grimi word go staff tri hard offer modicum good servic call food improv realli not much better premium economi cabin flown pay ticket ba talk lot premium standard even pay dollar busi class standard well even us counterpart complet rip sum
1396,4,10th November 2017,United States,verifi review wife book two round trip busi class air ticket johannesburg victoria fall british airway comair turn busi class seat not differ seat economi class exactli width pitch actual british airway simpli separ sever seat front rest aircraft cabin curtain call busi class moreov pre flight accommod not better economi class passeng british airway not even lodg busi class passeng victoria fall ye flight serv sparkl wine snack differ substanti pay two round trip ticket rather would cost economi class ticket
1397,3,10th November 2017,United Kingdom,verifi review london mumbai electr seat not work may relat remot control complet broken loos wire etc call button light kept come imposs control time actual want contact flight attend use husband remot control connect loos remot meant thing chang tv screen without abl control e g would press play screen program would paus start rewind without anyth remot control broken would not return properli socket kept ping back annoy tri relax seat tv screen faulti usual push releas button not work push button tri pull screen tough even cabin crew could not releas properli footrest stiff hard manoeuvr husband help everi time want move husband footrest broken charg socket seat not work could not charg phone laptop entir flight husband charg socket also not work flight attend told issu seat row not relat seat howev storag unit seat row kept open throughout flight attend would shut would open happen take land well throughout flight level airlin club world seat not accept reli person equip return flight first time flown busi class spent ten thousand pound american express card earn point requir gener companion voucher us abl fli busi class honeymoon whilst outbound flight great disappoint return flight shock poor qualiti seat hostess tri reset screen made differ fact situat got wors tri turn screen hostess attempt set screen kept flick remain hr flight imagin annoy screen flick way control imposs turn screen complet
1398,1,9th November 2017,United Kingdom,verifi review travel johannesburg london heathrow sunday nd octob flight ba husband meant travel two daughter flight rd octob refus board ground children cannot travel singl parent south africa requir book ticket via ba websit notif airlin stage requir not even front page embassi websit well hidden drop menu usual requir like esta entri us ba send prompt howev noth case ba system parent travel ba alreadi reach johannesburg day ba counter staff airport refus help husband travel year old altern instead direct use websit cancel ticket given wrong email address first final manag get touch custom relat refus refund ticket cost refund tax total overal servic way dealt extrem stress airport put said would use complain improv process not refund excess gbp k ticket cancel prior flight upon refus board even return flight not within hr book airlin offer altern attitud extrem dismiss even though husband frequent travel silver card execut program avoid travel ba even work event receiv better treatment low cost airlin past
1399,3,8th November 2017,United Kingdom,verifi review heathrow lyon worst custom servic ever experienc arriv airport good hour flight told flight overbook could not check long wait ascertain anyon not turn told go differ flight problem avail flight one go follow morn miss whole day busi meet forc round trip home back airport matter one day queri fact unabl board told oversel flight normal airlin fact cours not justif explan casual advis read small print futur way back destin order avoid thing happen decid check onlin hour howev deni check put stand appar return flight overbook not understand possibl product servic purchas not use legal compani respons honour contractu oblig provid servic duli purchas good month advanc disregard custom sheer arrog huge inept compani beyond pale top compani decis longer serv coffe tea food board unaccept ba made foolish decis behav like budget airlin still keep charg premium price certainli never travel ba ever
1400,1,7th November 2017,United Kingdom,verifi review absolut appal servic ba book seat extra leg room ba repres ensur get seat need arriv aircraft not seat return flight appli refund lot back forth ba start pay back drip drab not full amount far receiv half amount owe travel month ago call dozen time email fill form last heard someon would contact would sort matter one call back month call say chase anymor await someon call ba disgrac patient done noth worst airlin ever deal
1401,9,6th November 2017,United Kingdom,verifi review kingston london gatwick first time fli british airway honest last time ever fli horrid experi go destin well come back destin
1402,5,5th November 2017,United Kingdom,verifi review heathrow barcelona reliabl longer feel like travel premium airlin function unfortun cost flight took late luggag passeng need load howev arriv time barcelona excel inform flight deck cabin crew robot lack person enough alreadi said charg food drink overal fall well standard competit great piti realli
1403,2,4th November 2017,United Kingdom,verifi review singapor london feedback seem mirror mani user ba standard get wors wors talk busi class thought would maintain cabin interior worn quit grubbi seat terribl must one poorest long haul busi class meal present realli joke previou long haul biz trip got better food lufthansa premium economi cabin staff quit friendli although hide galley lot chat one said mani custom complain even desert ba fall standard not surpris one would not use long haul time senior manag chang present ceo clearli clue run premium airlin littl low cost easyjet one far superior nicer short hop europ
1404,2,3rd November 2017,Australia,verifi review british airway appear take posit step lift game servic flight flight materi better previous experienc qualiti food serv lift materi staff help big downsid club europ set remain stock standard economi seat middl seat block pitch tight tight view anoth coupl centimetr would welcom overal better ba experi
1405,7,2nd November 2017,United Arab Emirates,verifi review heathrow dubai warn expect british airway continu treat passeng way see airlin quickli get difficulti repli got airlin brush issu rais carpet live egypt year becam frequent flyer egyptair want chang date travel charg ba want charg want cancel flight go better airlin prepar give refund even though would given month notic airlin black list make asham think nation airlin never book anoth flight ba prioriti seat book unless paid anoth extra prioriti board book seat mysteri chang check e ba email confirm chang book not say chang not make chang premium economi wedg like sardin seat wider economi inch extra leg room kind joke doubl check economi one seat differ row tough chicken meal diabol cabin light bulkhead luggag bin jam would not go sleep whatsoev realli not see necess light anyhow non smoke light tv screen light give emit suffici light anyway end pay extra noth extrem disappoint flight day previous flew premium economi virgin atlant return barbado differ ba virgin world apart
1406,7,2nd November 2017,Sweden,verifi review flew british airway tokyo haneda london heathrow one worst flight ever seat weak felt everi movement passang around especi guy front realli old entertain system friend next miss audio outlet food also horribl
1407,6,1st November 2017,Switzerland,verifi review london toronto noth new anymor ceo aggress cost cut affect class includ first busi call club world not deserv name simpli appal cost custom eventu aircrew work harder smaller team not surpris ba current rank bounc back th th fact airlin prefer rather invest money flashi nonsens commerci rather product clearli not deserv recommend grand airlin today anoth star airlin like mani
1408,5,1st November 2017,United Kingdom,verifi review new york london heathrow first class check jfk quick polit staff provid better servic heathrow concord room metr secur nice enough good rang seat dine booth washroom shower facil downmarket select coupl la cart menu choic nice present tasti board reason effici staff onboard offer usual board drink pyjama etc delay min departur made flight opt sleep straight take seat comfort okay littl narrow minut arriv fruit pastri breakfast accompani good coffe need minim servic onboard staff courteou effici one good thing left ba ceo seem decid alien loyal custom year arriv heathrow b satellit absolut bedlam reason would choos anoth airlin rout want satellit train pass total full could even get main termin find immigr total disorganis chao buy pay ticket feel ba grossli overpr forg standard provid pleas get ceo valu qualiti bean count
1409,2,31st October 2017,United Kingdom,verifi review gatwick marrakech cabin crew lazi rude refus sell pack sweet would not taken second durat half flight sat back break servic stop half way flight order sweet food menu ladi pass said come back finish serv custom minut press bell assist one staff came rude explain finish serv custom even though none staff member seen serv anyon wait minut press bell ignor anoth minut partner went back cabin order pack sweet cabin crew explain break stop serv tri hour buy jaffa cake would taken less second much ask ryanair easyjet servic luxuri compar servic cabin crew not use ba avoid cannot recommend airlin
1410,1,30th October 2017,United States,verifi review first time fli british airway lo angel london heathrow abl secur window seat without pay fee onlin check hour prior departur baggag drop experi lax lhr smooth lax ba staff tag check bag lhr board experi good first time sit upper deck special storag bin window armrest food option consist find transatlant flight chicken pasta wifi ba good collect movi enjoy ba flight movi snack well flight map tracker work one segment bit surpris overal pleasant experi would consid fli ba
1411,8,29th October 2017,United Kingdom,verifi review gatwick cagliari prove rather pleasant well organis affair websit easi use clear check onlin simpli drop bag arriv earli flight note quit queue alreadi board process quick effici interior aircraft clean seat comfort short flight captain made clear inform announc two crew could see work hard pleasant crew made use italian cheer profession gripe aw use mark spencer food purchas good item not avail rout map entertain system lavatori clean disembark manag well
1412,3,28th October 2017,United States,verifi review shanghai tampa via heathrow gatwick receiv deplor custom servic recent british airway purchas busi class ticket flight septemb purchas two ticket total plu addit seat assign problem occur return flight book octob ba shanghai lhr london continu servic octob london gatwick tampa disembark cruis ship port shanghai octob check onlin hour flight schedul departur even octob captain announc ship would not dock port schedul morn octob captain announc chines shut port not allow ship dock announc frantic tri contact british airway expect would miss flight unabl inform order exit china without visa need proof flight leav countri awar requir not appli visa transit ship airplan knew without visa valid flight would escort local chines polic station could arrang flight countri obviou reason not want experi situat abl contact travel agent via e mail phone not oper sea chin agent abl contact british airway explain situat anoth flight depart octob hour minut origin flight flt ba told choic pay chang fee grade premium economi flight ba ba even though would abl make ba not depart london lgw octob pay addit per person total keep busi class statu flight alreadi paid ticket disembark ship take chanc chines immigr option outrag option frighten felt choic choos option travel agent advis us explain happen arriv airport check request busi class seat avail check pvg ask busi class seat avail ye sever respons explain happen ask courtesi could vacant seat ye cost cours refus pay amount charg addit baggag fee expect fli busi class two suitcas lb limit economi board flight ba went busi class cabin saw inde vacant seat arriv london ask seat origin purchas seat flight origin schedul inform busi class seat alreadi assign flyer appar british airway sold seat upgrad passeng expens
1413,3,27th October 2017,United Kingdom,verifi review gatwick marrakech gener well organis flight fairli full class gripe current food servic fairli long short haul flight schedul h reason meal servic would welcom desir lot comment other flown ba recent bought food termin departur coho ice board limit especi much seem alreadi sold biggest issu time taken food sell took almost flight time crew work plane serv everi row even though observ passeng bought noth cours led problem wish go toilet rear food servic start front passeng front middl access aft toilet trolley pass passeng resort use forward toilet pass busi class assum not welcom passeng overheard crew member say not go duti free sale time ridicul paid limit servic take long rememb day british midland crew could serv full cook breakfast tea coffe pax lhr middlesbrough flight schedul minut aer lingu crew serv hot breakfast turbul flight hr dublin london ba want differenti low cost carrier not way
1414,6,26th October 2017,United Kingdom,verifi review oakland heathrow flight fine worst could said magic airlin manag provid left arriv time fa attent profession food reason alcohol serv gener proport real complaint inflight entertain rather poor lot old film tv programm mediocr choic music
1415,6,26th October 2017,United Kingdom,verifi review london sofia cabin crew kind posit thing british airway becom bad ryanair onboard passeng pay ridicul amount money even small bottl water book flight heathrow sofia told get free check bag babi girl day flight decid doubl check call custom servic line guy phone told need pay check bag want one told one includ babi daughter said not true ask doubl check said alreadi pay check bag way sinc alreadi suitcas pack next day went check heathrow ask mani bag want check ask mani bag allow check ladi said check two bag one babi one paid previou day thing one suitcas sinc guy phone told check one bag pay first arriv sofia rang british airway explain everyth agre refund money charg addit bag said refund london sofia flight day fee sofia london rout week time month later check onlin bank saw refund outbound journey rang said sorri refund remain within next day point fair reason get discount voucher next flight price said someth british airway not offer
1416,2,25th October 2017,Singapore,verifi review singapor nassau via heathrow british airway becom dismal airlin fli start worst shock aspect flight heathrow singapor oct bug flight bite bodi least dozen place one suffer bad food servic behavior cabin staff one health compromis unaccept toilet filthi paid premium seat front row could smell toilet attitud staff rang sweet indiffer curt sometim rhyme reason food inconsist becom pain long haul flight option avail fli nassau heathrow dinner fine breakfast think morn snack consist croissant cold lump coffe cold oat snack bar mean cant get croissant right inflight entertain mediocr best remain much desir screen singapor heathrow sector ok use heathrow nassau sector malfunct time could feel finger passeng sit behind tri function touch screen like punch screen flight merci time full mark time could learn well airlin like singapor airlin pretti consist clean give airlin valu money
1417,5,24th October 2017,United Kingdom,verifi review flew london heathrow madrid british airway monopoli rout spain seriou impact qualiti ba own iberia competit plane worst ba fleet check nightmar oper flight onlin check not recogn book refer realli worst ba iberia world togeth
1418,8,23rd October 2017,United Kingdom,verifi review london zurich budget airlin premium price lot late cancel flight pay luggag food drink poor custom servic even silver level flight cancel past long time phone offer altern flight anoth airport assist transport
1419,2,23rd October 2017,United Kingdom,verifi review bari gatwick held togeth cockpit crew follow review outbound leg week back check excel not ba staff secur bari breez board well organis cabin crew chat board ignor inexcus flight fine ahead schedul good updat cockpit buy anyth time smell coffe far better tast previou experi gatwick south unpleas tho not ba fault endless staircas broken escal long walk secur half e gate action baggag arriv anyway despit prioriti delay secur irrelev offer upgrad club joke loung bari onboard valu max still like fli ba much easi ryanair sink level put ba busi short haul littl differenti
1420,1,22nd October 2017,United Kingdom,verifi review earli morn flight london heathrow gibraltar know british airway start charg food drink european flight servic level drop low better ryanair easyjet might food get not help seat rear cabin sinc ba start charg notic food cart start front would front rear time cart get hr flight run thing flight earli morn bacon roll menu go best seller sell pro kg cabin bag allow best busi
1421,2,21st October 2017,United Kingdom,verifi review pisa gatwick fli rout often home tuscani believ not get better option ryanair wors flight start new south termin loung decor layout facil great problem although locat not easi place find breakfast food ghastli cheap bap greasi bacon dri eggi thing horribl touch left confirm numer plate half eaten bap tin fruit salad yoghurt plu g ye know bit earli day short walk gate plane left time usual horribl seat club europ front row made easier pleasant lunch chicken couscou salad plane old confirm wc origin loo flush button blue use blue partli erod finger press grey colour loo basin cannot describ plane land time captain came nice chat nice bloke return flight start share loung okay get busi plane back recogniz flush button loo unless ba like skip meal eaten lunch pisa look nice though gin tonic suppress irrit shoddi product club europ great flight back set sun fa flight great moral low thank miser mean cost cut ba ceo mr cruz idea run airlin first flew ba differ declin sad depress see verifi review neg time find new ceo think
1422,6,21st October 2017,United Kingdom,verifi review la vega london heathrow particular boe must one resurrect storag desert condit aircraft appal first class cabin liter fall apart loos yellow bin filthi carpet entertain system old slow low definit premium economi cabin directli behind first class passeng kept use first class toilet matter filthi dinner first class ined british airway nation embarrass british airway best three star airlin mayb even two star carrier compar competitor
1423,3,21st October 2017,Australia,verifi review london citi edinburgh flight left time arriv earli impress legroom embraer much comfort ba check secur board went smoothli quickli cabin crew effici light snack drink provid short flight would fli ba short sector lci excel airport use
1424,1,20th October 2017,United Kingdom,verifi review faro gatwick check quiet club europ desk quickli book fast track secur airport particularli well manag although get quicker would otherwis disappointingli british airway not provid loung access faro current lot construct take place main departur loung builder not exactli consider nois prioriti queue entranc gate usual british airway fairli half heart job ensur prioriti board aircraft aircraft new style think smart nice decor not budget airlin comment like say whilst legroom amaz tall quit comfort extra tabl space make usabl space cabin crew friendli profession whilst also effici bar servic nut deliv soon take along menu flight cold part meal drink excel sadli chicken main quit overcook lead dri chicken soggi veg said tast nice arriv gatwick dream especi larg airport although build quit old not laid well newer one done fantast job modernis make secur quick took littl bag reach belt prioriti bag came first process fairli painless got good deal flight would say reason good valu money although experi faro airport reduc premium feel consider
1425,1,20th October 2017,United Kingdom,verifi review lo angel london heathrow inflight entertain not work tv video music radio usb socket not work headphon not work custom servic poor cabin crew seem unawar carri pay passeng upon job depend food mediocr appl juic tomato juic dinner trolley cabin crew bother fetch tea serv breakfast luke warm stew refresh suppli unless collect galley took day get custom relat mani call cut minut other cancel go option cannot recommend british airway case certainli not fli serv experi far expect definit lower budget rang custom servic british flag carrier experi shame last flight airlin
1426,1,20th October 2017,United Kingdom,verifi review malaga gatwick introduc new cabin baggag allow ultim mean everyon tri jam huge case overhead locker result ryanair like scuffl charg food would fine take singl food trolley entir durat short haul flight get way plane previou three flight new ba left hour half last flight actual two hour without servic economi passeng not allow use busi class toilet long queue passeng stuck behind trolley desper tri get toilet back plane end trolley whole bunch passeng wait scrap food drink two hour take cabin crew seem genuin fed one key reason fli ba friendli cabin crew servic absolut total undermin compani give time energi look nice ultim price everyth make sure check norwegian spend money ba price everyth fli ba
1427,1,19th October 2017,United Kingdom,verifi review london heathrow bangkok look forward eventu fli british airway fli reguarli bangkok airlin disappoint low budget product premium price never use airlin costli option usual regular journey thailand rank lowest airlin use rout past trip seatback screen small poor qualiti servic dread seat old powerpoint wifi board best part trip get absolut shame nation carrier uk lower cost ba realli budget go fli gulf airlin vast major europ best ba nowher near good enough current price almost rd direct flight eva thai bangkok british airway half good
1428,5,19th October 2017,United Kingdom,verifi review gatwick bari employe not care passeng queu club bag drop desk open one busi one two staff talk one staff look screen bare greet turn ask check line cursori greet loung ignor cabin attend board push past talk ground staff good time flight usual impecc pilot bought coffe dread appar artisan coffe almost eye contact cabin crew flight good price
1429,1,19th October 2017,United Kingdom,verifi review malaga gatwick return trip holiday equal pleasant check malaga breez although secur pack even though quiet sunday vip loung malaga use ba airlin appar one pretti useless compar old ba loung use cost cut guess spoil gatwick drink okay limit food pretti aw seat comfort spaciou flight left time arriv half hour earli due guess help hurrican ophelia guess fring board cater drink usual qualiti pleasant crew chat first offic nice man well look class complain
1430,1,18th October 2017,United Kingdom,verifi review gatwick malaga first flight ba new home south termin london gatwick upon arriv check bit disappoint see staff avail deal busi class passeng result minut wait sort bag howev fast track custom effici made earlier minor irrit new loung south termin spaciou food beverag usual good qualiti although sadli reduct toward cheap airlin show crack malaga unev onboard food well present good qualiti arriv min ahead schedul due fortun wind cannot complain overal flight qualiti excel
1431,5,17th October 2017,France,verifi review london heathrow nice deliber extort ba opinion book economi basic return nice london ba day outbound make chang outbound flight go day earlier end buy new singl outbound flight ba app crash tri chang cancel origin outbound flight uk receiv medsag return flight readi check ba howev app gave said log mani time upon arriv heathrow told ba cancel return book multipl book said pay approx buy new singl ticket home even explain situat argu inform cancel flight day ago could least bought cheaper flight even day got check open messag would allow book cheaper eventu custom relat manag offer ticket charg tax need get back time go gatwick cheaper flight choic pay term condit may well tell flight cancel ask ticket person mani peopl think read c said would not like comment
1432,2,17th October 2017,United Kingdom,verifi review gatwick orlando return worst ever long haul busi class flight experienc mani airlin mani differ class travel year recent flight highlight depth british airway descend not world favourit airlin far never like ba busi class club world seat sinc chang yin yang layout seat across cabin seat layout togeth poor servic meant honestli say worst ever long haul busi class flight experienc day never understood health safeti viewpoint caa regul ever allow seat configur first place unless sat aisl seat cabin crew reach passeng pass hot drink meal ridicul true happen seat class well usual less precari angl gener not behind head order get centr seat row e f window seat climb anoth passeng feet foot rest seat reclin dim cabin light tricki potenti danger minimum normal end kick passeng climb abl bodi anybodi less mobil would realli struggl get aisl whatev reason almost feel imprison centr seat often also ignor cabin crew pass quickli often behind time notic gone not use call button get basic servic return leg night flight servic overal poor crew want turn light asap servic breakfast also poor offer inconsist wife struggl get orang juic side cabin wherea least got struggl get second cup coffe entertain system archaic recent film titl small screen resolut poor aircraft deliv ba march show age flight might hundr pound cheaper competitor futur pay extra get decent seat servic ba get away retain dread seat versu aisl access everybodi corpor passeng market let obviou employ pay say either choos economi seat one dread busi class seat obvious choos busi class seat put difficulti poor servic margin better seat back not make right probabl never fli ba long haul busi class club world pay ticket unless stop arrog configur seat
1433,8,17th October 2017,United Kingdom,verifi review london abu dhabi told ba check would interest upgrad premium economi window seat avail ladi repli check interest upgrad window repli ye seri phone call upgrad process paid gbp seat window view seat situat back premium economi toilet complain told seat could not guarante complaint refund offer token gestur offer noth food nice seat comfort rude custom servic would fli led believ could pay window seat paid good faith flown ba year year disappoint fli
1434,2,15th October 2017,United Kingdom,verifi review gatwick faro pretti good flight round ticket bought sale car hire well work good valu check area south termin nice check quickli fast track secur equal quick new ba loung realli well decor laid lot nice vari seat interest light fixtur good view tarmac earli morn breakfast serv reason good although hot option bacon roll omelett roll porridg felt quit limit staff excel board quick cabin crew friendli although pre flight drink offer older aircraft old style seat aircraft clean show much sign age seat comfort enough although legroom not amaz lucki enough front row cook breakfast actual fairli good think noth world shatter decent cook fairli good qualiti ingredi disembark quick enough although bag took quit prioriti baggag seem count lot annoyingli prioriti bag tag come end one last bag overal good flight
1435,3,13th October 2017,United Kingdom,verifi review london madrid economi class late book quit expens ticket fli heathrow onlin check luggag check airport process okay board quit effici cabin dirti carpet tabl window unpleas cannot believ cleaner set foot earlier flight everyth pay onboard want eat drink choic okay brochur speed serv aw staff seem real problem card payment becam bad temper toward us want buy mind cheap ticket not true case rip ba avoid possibl
1436,3,12th October 2017,United Kingdom,verifi review told saturday hand luggag fine right size ba staff geneva airport physic inspect monday order pay franc staff airport insan rude honest supervisor particularli custom servic also aw joke airlin compar competitor like qatar file complaint not respond week respond chase said wait time actual week believ explan system fail may intern matter clearli still not resolv
1437,5,11th October 2017,Cayman Islands,verifi review grand cayman london comprehend flight sum hour travel across atlant ocean allow check free bag economi class upon return gcm lon octob pay addit baggag particularli univers student migrat distanc achiev good educ addit disgust rate addit baggag ba gotten cheap longer provid complimentari travel toothbrush toothpast eye mask hour flight one thing appreci ba made feel valu truli disappoint ba day whenev day come anoth airlin travel directli lon gcm guarante abandon ba
1438,1,11th October 2017,Australia,verifi review sydney pari via london fli admit probabl worst airlin fli board plane notic ketchup window wall next assum long distanc flight airlin provid mask sleep ear plug mayb small tube toothpast headphon british airway order special meal receiv first low callri meal expect could not find breakfast one cabin crew ask order special meal plane look quit old tri ba never
1439,8,9th October 2017,United Kingdom,verifi review larnaca london heathrow return trip holiday ba product like posh ryanair style product even ask donat toward chariti notic differ aircraft flight entertain seat could view tv screen ryanair easyjet low cost airlin pay use cash ba card payment sterl aircraft clean tidi overal main ba product gone downhil servic standard slip compar flight recent flight london citi ba cityfly vast standard cabin servic standard
1440,7,9th October 2017,United Kingdom,verifi review funchal gatwick due advers weather return flight delay three day fli cabin crew appear total unawar fact passeng difficult frustrat time total unsympathet provid chaotic servic throughout flight cater servic absym choic hot meal hardli bar servic tea coffe suspect although aircraft arriv empti lgw fulli load food drink trolley contrast outgo flight flight endur show differ crew make
1441,1,8th October 2017,United Kingdom,verifi review orlando gatwick staff look us fli florida home outstand way home seat alreadi arrang seat separ two children realli worri fli home away children spoke flight supervisor kindli ask two passeng would switch seat happi seat good went back enough abl get sleep thing happi movi guess everyth would book fli ba would highli recommend
1442,3,8th October 2017,New Zealand,verifi review flew leed bradford geneva via london heathrow british airway certainli shock budget low cost style bag kg kg limit meant pay two bag whilst one ask take one item put carri avoid pay extra answer odd consid bag belt right infront board aircraft board prompt clean sleek cabin seat near back close toilet problem beverag servic okay everyth price bought ginger ale cup shock advertis full size thing free board water intern servic quit expens ticket littl disappoint crew friendli help help overhear crew convers galley descent switzerland talk inappropri especi loud talk children nearbi apart thing flight time punctual serv purpos paid
1443,7,7th October 2017,Qatar,verifi review lo angel doha via london great staff poor food stupid cabin layout spoilt fli gulf airlin time tri rear face intern configur firstli stare face two new best friend seat face forward best weird worst like busi class speed date experi crew could bare serv ventil restrict access block foot rest forward face passeng secur screen went felt like sort fli crypt tempt assum brace posit give impress die view food embarrass bad bigger serv economi style food bigger economi style bowl ba great crew tri best silli cabin engin poor cater support
1444,3,6th October 2017,United Kingdom,verifi review london heathrow istanbul british airway quit clearli declin utter contempt custom even loyal one statu like overal feel airlin miserli skimp greatli remov imag tri portray premium airlin galleri south larg airi well equip clean not busi sunday travel drink well stock cater evid airlin scrape bare minimum offer qualiti lack minuscul portion breakfast load cheap carb curtail premium ingredi onboard similarli tire plane not clean seat food debri previou flight stain tray tabl seat cramp cabin crew look deject low moral onboard experi servic differ fli easyjet fact would argu wors complimentari cater subject sandwich not cheap good valu better lcc offer servic slow took whole hour flight mean difficulti go toilet due trolley block aisl even ask wait finish ludicr given took whole flight serv peopl slow servic due use card payment also fact supplier allow chill item trolley mean ridicul scenario cabin crew constantli run galley fetch item slow return journey clear ba care european non north american rout loung contract loung subpar fact dark dingi furnitur filthi least food decent overal fact flew ff mile low tax redempt within europ would never actual pay full cash fare airlin get better effici servic like easyjet within europ differ overal product complimentari cater remov
1445,4,1st October 2017,Canada,verifi review toronto london premium economi onto oslo economi easi check loung within min usual select dri sandwich chicken noodl soup minu chicken noodl loung clean plenti staff clear away effici board spark wine soft drink offer earli departur fast drink servic dinner light breakfast previous scrap cereal bar also gone earli arriv short wait shower north loung follow ok breakfast earli departur averag flight long queue bathroom one economi remov provid seat slow buy board servic though least made last row mainli littl take food drink earli arriv though long wait bag oslo london verg farc full flight selfish use overhead delay departur whilst crew look space buy onboard came quickli one second handheld machin die first row serv servic ground halt whilst crew tri get either machin back life broke paper visa slip took cart back appear min later servic start hour flight littl take peopl given includ littl time left enjoy purchas crew tri realli hard put brave face kept go organis concept ba buy board disgrac though third parti provid food card machin choic stock hold reliabl payment machin mean servic farc understand ba continu struggl servic easyjet ryanair low cost carrier seem crack got act togeth earli arriv fast bag complet flight final flight home toronto good club loung b gate remain quiet clean oasi relax eat drink fli tow gate min departur never go leav time gate experi enhanc upgrad busi class servic realli slow board ask champagn underwhelm bag toiletri shade offer take push back late sign life crew anoth min though posit enhanc tray servic drink felt classi cart main steak excel look new crockeri plate cook dri gravi potato around edg afternoon tea remain underwhelm scone three sandwich still wrap plastic overal declin servic seem stop minor improv crew four flight pleasant lack confid experi desir thing book result slow wooden servic time farc buy board pleas appear declin servic
1446,4,1st October 2017,United Kingdom,verifi review earli morn flight gatwick malaga pleasant experi overal flight depart time staf compet amiabl experienc cabin crew announc clear friendli howev rout map mani snack list mark spencer buy menu not avail must mention cost luggag outrag put
1447,2,1st October 2017,Greece,verifi review athen london slowest baggag drop servic ever experienc spent whole hour wait drop bag queue peopl alreadi check serious not understand slow peopl alreadi check need leav bag compani realli need look process
1448,7,29th September 2017,United Kingdom,verifi review return british airway flight london sofia servic halv outboard leg good london bulgaria check swift effici board flight simpl quick bag flight polici enforc stow bag plane quick disembark plane straight forward easi flight worth good return flight sofia london opposit check slow not ineffici prioriti board plane ryanair type scrambl board plane bag flight polici not enforc mani peopl got flight roller bag rucksack small holdal cabin crew nightmar experi tri stow bag take airborn servic sold halv economi cabin serv drink crisp avail toward end final disembark plane slow drawn affair passeng tri locat bag hold isl overal would give leg
