,Ratings,Date,Country,New_Reviews
35,1,30th September 2023,Italy,trip verifi worst journey life connect time lhr hour flight mxp delay rush chang termin train arriv risk heart attack plane stay anoth minut despit upon arriv sjc baggag lost fill form gave employe not given receipt not refer number ba phone number sjc simpli never answer call twice toll free number realiz not record deliveri address enter onlin deal shitti websit deliv baggag three day later claim compens onlin buy cloth stuff never get receipt expect upgrad flight back mxp noth happen neither allow enter ba loung sjc bad custom servic posit side price obvious cannot justifi treatment knew would never flown ba never
36,3,28th September 2023,United States,trip verifi airplan loung worn old broken dalla heathrow multipl first class seat electron non function poorli design first class seat heathrow dubrovnik noth tray block middl seat standard coach ticket disappoint
37,4,28th September 2023,United Kingdom,trip verifi one worst experi worst airlin flight delay due earlier technic issu time slip final cancel zero inform given despit pay well odd busi class boot ba loung two hour flight final cancel ba staff without explan told everyon go gate anoth hour made us enter uk via passport control minut wait airport close sign bag help ba pass gatwick engin final help us locat bag ba complet wash hand us contravent caa rule refus find us accommod mani slept bu stop overnight peopl young children find somewher stay yet ba close left follow day replac flight also late due admin mistak cater liquid hr flight overal servic shockingli bad worst experienc airlin not ever use
38,1,27th September 2023,United Kingdom,trip verifi cancel flight last minut move us onto flight day later oper japan airlin paid lot extra extra legroom seat tall assign middl seat deep middl plane oper differ airlin book ba neither ba airlin could chang seat phone despit seat avail hour wait queue sit hold solut arriv earli airport seat alreadi given away free peopl book directli airlin could check onlin got meal voucher compens enorm downgrad hour flight never fli ba would rather fli indirect better airlin use disgrac airlin
39,1,23rd September 2023,United States,trip verifi flight miami florida dublin ireland via london heathrow airport outbound flight miami delay delay gate occupi arriv heathrow total delay roughli hour enough make connect challeng minut origin arriv time departur time dublin head connect flight stop secur personnel checkpoint told us gate connect flight alreadi close twenti minut prior departur time usher us custom servic rebook given busi weekend travel rebook flight differ airport told cost get would reimburs wait hour luggag took cab london citi airport cab fare roughli file claim british airway refus claim told plenti time make connect flight therefor deni claim reimburs cab fare explain british airway employe usher us rebook flight despit minut timefram make connect flight person rebook us told us polici close gate minut prior departur never fli aw airlin given feedback site appear overwhelm sentiment
40,1,22nd September 2023,United States,trip verifi start day ba pragu flight actual left time came find unusu purchas busi class seat see pictur hardli busi class block middl seat first row call busi class horribl flight addit realli rude rude check clerk basic yell excus ask could give littl bit prioriti mani busi class passeng serv got heathrow real fun began hour delay gave us differ excus delay employe walk away ask question rude one point employe left announc seem virtual everi ba flight delay weather issu place comfort store item busi class never experienc not even cup holder bottl water seat control work well keep push button get anyth power outlet work internet entir flight overhead luggag bin heavi almost got hernia close horribl airlin never fli could give zero star would
41,1,22nd September 2023,United Kingdom,trip verifi fli british airway weekli not want rout option therefor frankli care custom flight alway delay alway someon els fault weather delay incom aircraft flight traffic control issu heard life cannot understand allow oper around world travel world airlin british airway realli worst worst shame watch use good compani fall cliff advic option fli anyon els exercis option fli differ connect tight schedul not expect ba get destin time
42,1,20th September 2023,France,not verifi everyth ok connect flight london take runway pilot came announc engin problem engin tri fix wait plane hour final told would evacu rebook anoth flight not worri special crew wait us ground help us set us hotel except one help us fact everyon refus help us saturday almost pm want go home anyon connect flight rebook applic app disassoci first flight connect one london staff saw still refus help us gave us phone number messag said use app final got someon phone rebook us next day pm find hotel room airlin refus also help us choic either sleep airport pay gbp room money pay hour flight hour jet lag insan stress fact one british airway would help us took room cours claim reimburs week ago heard anyth sinc idea much reimburs even though not claim emot compens horribl situat put due total indiffer financi difficult right money put equal half salari cours imposs reach phone feel still august complet trap indiffer solut inform
43,1,20th September 2023,Germany,not verifi initi flight cancel hour prior flight automat reschedul next day next day flight delay leav hamburg miss connect flight la vega sever passeng spent night london british airway provid us voucher transfer bu drop us wrong hotel closest hotel told us walk want result lost two night hotel reserv made la vega open claim provid receipt british airway get refund hotel reserv week not singl feedback british airway avoid flight futur share stori
44,1,19th September 2023,Switzerland,not verifi never fli british airway flight juli lhr lax cancel hour departur without explan sinc week wait refund ba not pay us cost caus cancel disappoint
